DIEAREA_mm^2,wire_length,power,Congestion,FP_CORE_UTIL,PL_TARGET_DENSITY,DIE_AREA,CORE_AREA
0.0028453025,781,2.36e-05,8.46,30.0,0.6,600.0,600.0
0.002780800425,815,2.38e-05,8.07,31.0,0.6,600.0,600.0
0.0027201752999999,773,2.35e-05,8.32,32.0,0.6,600.0,600.0
0.0026628048,798,2.37e-05,8.14,33.0,0.6,600.0,600.0
0.002608606425,730,2.33e-05,8.1,34.0,0.6,600.0,600.0
0.0025569929,765,2.35e-05,7.69,35.0,0.6,600.0,600.0
0.0025084073,786,2.37e-05,9.16,36.0,0.6,600.0,600.0
0.0028453025,781,2.36e-05,8.46,30.0,0.6,700.0,600.0
0.002780800425,815,2.38e-05,8.07,31.0,0.6,700.0,600.0
0.0027201752999999,773,2.35e-05,8.32,32.0,0.6,700.0,600.0
0.0026628048,798,2.37e-05,8.14,33.0,0.6,700.0,600.0
0.002608606425,730,2.33e-05,8.1,34.0,0.6,700.0,600.0
0.0025569929,765,2.35e-05,7.69,35.0,0.6,700.0,600.0
0.0025084073,786,2.37e-05,9.16,36.0,0.6,700.0,600.0
0.0028453025,781,2.36e-05,8.46,30.0,0.6,800.0,600.0
0.002780800425,815,2.38e-05,8.07,31.0,0.6,800.0,600.0
0.0027201752999999,773,2.35e-05,8.32,32.0,0.6,800.0,600.0
0.0026628048,798,2.37e-05,8.14,33.0,0.6,800.0,600.0
0.002608606425,730,2.33e-05,8.1,34.0,0.6,800.0,600.0
0.0025569929,765,2.35e-05,7.69,35.0,0.6,800.0,600.0
0.0025084073,786,2.37e-05,9.16,36.0,0.6,800.0,600.0
0.0028453025,781,2.36e-05,8.46,30.0,0.6,900.0,600.0
0.002780800425,815,2.38e-05,8.07,31.0,0.6,900.0,600.0
0.0027201752999999,773,2.35e-05,8.32,32.0,0.6,900.0,600.0
0.0026628048,798,2.37e-05,8.14,33.0,0.6,900.0,600.0
0.002608606425,730,2.33e-05,8.1,34.0,0.6,900.0,600.0
0.0025569929,765,2.35e-05,7.69,35.0,0.6,900.0,600.0
0.0025084073,786,2.37e-05,9.16,36.0,0.6,900.0,600.0
0.0028453025,781,2.36e-05,8.46,30.0,0.6,600.0,700.0
0.002780800425,815,2.38e-05,8.07,31.0,0.6,600.0,700.0
0.0027201752999999,773,2.35e-05,8.32,32.0,0.6,600.0,700.0
0.0026628048,798,2.37e-05,8.14,33.0,0.6,600.0,700.0
0.002608606425,730,2.33e-05,8.1,34.0,0.6,600.0,700.0
0.0025569929,765,2.35e-05,7.69,35.0,0.6,600.0,700.0
0.0025084073,786,2.37e-05,9.16,36.0,0.6,600.0,700.0
